PLZ;Ortsname;Ortsteil;Straße
80935;München;Feldmoching-Hasenbergl;Gundermannstr.
80992;München;Moosach;Feichtmayrstr.
81673;München;Berg am Laim;Halserspitzstr.
82442;Saulgrub;Saulgrub;Am Anger
82481;Mittenwald;Mittenwald;Aschauer Alm
83209;Prien a. Chiemsee;Trautersdorf;Trautersdorf
83246;Unterwössen;Unterwössen;Mühlackerweg
83564;Soyen;Soyen;Wiesenweg
83607;Holzkirchen;Föching;Westermeierstr.
84085;Langquaid;Adlhausen;Bergstr.
84329;Wurmannsquick;Wurmannsquick;Oberthürstr.
84364;Bad Birnbach;Bad Birnbach;Graf-Arco-Str.
84387;Julbach;Oberjulbach;Dorfstr.
84494;Niedertaufkirchen;Niedertaufkirchen;Lanzenthal
84564;Oberbergkirchen;Irl;Irl
84568;Pleiskirchen;Oberau;Oberau
84577;Tüßling;Heiligenstatt;Marsstr.
85055;Ingolstadt;Oberhaunstadt;Draisstr.
85123;Karlskron;Josephenburg;Kirchstr.
85250;Altomünster;Altomünster;Hechthof
85283;Wolnzach;Rinnermaierhof;Rinnermaierhof
85395;Attenkirchen;Gütlsdorf;Schlehenweg
85652;Pliening;Landsham;An der Chaussee
85652;Pliening;Landsham;Kirchheimer Str.
86343;Königsbrunn;;Graf-von-Stauffenberg-Str.
86356;Neusäß;Schlipsheim;Schulstr.
86381;Krumbach (Schwaben);Edenhausen;Hofbauerweg
86391;Stadtbergen;Stadtbergen;Schubertstr.
86684;Holzheim;Holzheim;Rosenweg
86706;Weichering;Lichtenau;Schulweg
87527;Sonthofen;Altstädten;Sonthofener Str.
87700;Memmingen;Memmingen;Grenzhofstr.
87770;Oberschönegg;Dietershofen;Kirchstr.
88131;Lindau (Bodensee);Reutin;Lagerhausstr.
89331;Burgau;Burgau;Hindenburgplatz
90587;Obermichelbach;Rothenberg;Traubenweg
91077;Neunkirchen a. Brand;Neunkirchen;Äußerer Markt
91586;Lichtenau;Lichtenau;Von-Heydeck-Str.
92715;Püchersreuth;Püchersreuth;Ilsenbacher Str.
94081;Fürstenzell;Fürstenzell;Passauer Str.
94405;Landau a.d.Isar;Möding;Laubenweg
95145;Oberkotzau;Oberkotzau;Steinweg
96465;Neustadt b. Coburg;Ebersdorf;Sonneberger Str.
96472;Rödental;Waldsachsen;Am Mühlberg
97080;Würzburg;Grombühl;Mittlerer Steinbergweg
97199;Ochsenfurt;Hohestadt;Fliederstr.
97320;Sulzfeld a. Main;;Julius-Echter-Str.
97705;Burkardroth;Oehrberg;Oehrbachstr.
97786;Motten;Kothen;Zum Schmelzhof
97852;Schollbrunn;;In den Geisegärten
20095;Hamburg;Hamburg-Altstadt;Brandsende
20099;Hamburg;St. Georg;Steintorplatz
20148;Hamburg;Rotherbaum;Mittelweg
20149;Hamburg;Harvestehude;Klostergarten
20249;Hamburg;Eppendorf;Sudeckstr.
20354;Hamburg;Neustadt;Kalkhof
20355;Hamburg;Neustadt;Holstenwall
20459;Hamburg;Neustadt;Kuhberg
20537;Hamburg;Hamm;Eiffestr.
20537;Hamburg;Hamm;Steinbeker Str.
20539;Hamburg;Rothenburgsort;Billhorner Kanalstr.
20539;Hamburg;Rothenburgsort;Gustav-Kunst-Str.
21029;Hamburg;Bergedorf;Kirchhofsweg
21073;Hamburg;Eißendorf;Bahrstr.
21073;Hamburg;Harburg;Dritte Twiete
21075;Hamburg;Heimfeld;Vahlenkampffweg
21077;Hamburg;Marmstorf;Feuerberg
21079;Hamburg;Rönneburg;Pepers Seeg
21107;Hamburg;Wilhelmsburg;Köhlbrandstr.
21129;Hamburg;Finkenwerder;Steendiek
21149;Hamburg;Neugraben-Fischbek;Am Scheinberg
22041;Hamburg;Marienthal;Botenstieg
22047;Hamburg;Tonndorf;Westerlandstr.
22081;Hamburg;Barmbek-Süd;Holsteinischer Weg
22081;Hamburg;Barmbek-Süd;Marschnerstieg
22081;Hamburg;Uhlenhorst;Oberaltenallee
22083;Hamburg;Barmbek-Süd;Weberstr.
22115;Hamburg;Billstedt;Erhard-Dressel-Bogen
22117;Hamburg;Billstedt;Papyrusweg
22159;Hamburg;Farmsen-Berne;Rokeshöhe
22179;Hamburg;Bramfeld;Weidkoppel
22301;Hamburg;Winterhude;Dorotheenstr.
22307;Hamburg;Barmbek-Nord;Neue Wöhr
22335;Hamburg;Fuhlsbüttel;Kleekamp
22359;Hamburg;Volksdorf;Rögenweg
22391;Hamburg;Poppenbüttel;Stadtbahnstr.
22393;Hamburg;Sasel;Meinertstr.
22417;Hamburg;Hummelsbüttel;Hattsmoor
22419;Hamburg;Langenhorn;Twisselwisch
22453;Hamburg;Niendorf;Steinhoffweg
22455;Hamburg;Niendorf;Wilzenweg
22457;Hamburg;Eidelstedt;Brummerskamp
22459;Hamburg;Niendorf;Ubierweg
22527;Hamburg;Stellingen;Högenstr.
22529;Hamburg;Lokstedt;Buchenallee
22547;Hamburg;Lurup;Limosenweg
22549;Hamburg;Lurup;Achtern Moor
22549;Hamburg;Osdorf;Mohnstieg
22587;Hamburg;Blankenese;Rissener Landstr.
22767;Hamburg;Altona-Altstadt;Govertsweg